id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"24770",\N,\N,\N,"裘皮协会会员项目2015082102","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","46",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24771",\N,\N,\N,"裘皮协会会员项目2015082101","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","46",\N,"已婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24772",\N,\N,\N,"垫资赎契项目2015082002","250,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥250,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24773",\N,\N,\N,"垫资赎契项目2015082001","270,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥270,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24774",\N,\N,\N,"垫资赎契项目2015081801","1,500,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥1,500,000.00  ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24775",\N,\N,\N,"裘皮协会会员项目2015081802","500,000.00",\N,\N,"3个月","7.70",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","52",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24776",\N,\N,\N,"裘皮协会会员项目2015081801","300,000.00",\N,\N,"11个月","8.90",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","hu****","男","38",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24777",\N,\N,\N,"垫资赎契项目2015081403","350,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥350,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24778",\N,\N,\N,"垫资赎契项目2015081402","490,000.00",\N,\N,"2个月","7.60",\N,"借款金额：￥490,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24779",\N,\N,\N,"垫资赎契项目2015081401","730,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥730,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24780",\N,\N,\N,"中瑞融资租赁项目2015081305","500,000.00",\N,\N,"9个月","8.60",\N,"资金周转",\N,\N,"按月付息,到期还本","JU****","男","45",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24781",\N,\N,\N,"中瑞融资租赁项目2015081304","500,000.00",\N,\N,"7个月","8.20",\N,"资金周转",\N,\N,"按月付息,到期还本","JU****","男","45",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24782",\N,\N,\N,"中瑞融资租赁项目2015081303","500,000.00",\N,\N,"6个月","8.00",\N,"资金周转",\N,\N,"按月付息,到期还本","JU****","男","45",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24783",\N,\N,\N,"中瑞融资租赁项目2015081302","500,000.00",\N,\N,"4个月","7.80",\N,"资金周转",\N,\N,"按月付息,到期还本","JU****","男","45",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24784",\N,\N,\N,"中瑞融资租赁项目2015081301","500,000.00",\N,\N,"3个月","7.70",\N,"资金周转",\N,\N,"按月付息,到期还本","JU****","男","45",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24785",\N,\N,\N,"垫资赎契项目2015081201","540,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥540,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24786",\N,\N,\N,"垫资赎契项目2015081001","550,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥550,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24787",\N,\N,\N,"裘皮协会会员项目2015080703","500,000.00",\N,\N,"5个月","7.90",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24788",\N,\N,\N,"裘皮协会会员项目2015080702","500,000.00",\N,\N,"5个月","7.90",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24789",\N,\N,\N,"裘皮协会会员项目2015080701","500,000.00",\N,\N,"5个月","7.90",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24790",\N,\N,\N,"中瑞融资租赁项目2015080604","500,000.00",\N,\N,"7个月","8.20",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24791",\N,\N,\N,"中瑞融资租赁项目2015080603","500,000.00",\N,\N,"6个月","8.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24792",\N,\N,\N,"中瑞融资租赁项目2015080602","500,000.00",\N,\N,"5个月","7.90",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24793",\N,\N,\N,"村民融资业务2015080602","300,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","35",\N,"未婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24794",\N,\N,\N,"村民融资业务2015080601","300,000.00",\N,\N,"12个月","9.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","35",\N,"未婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24795",\N,\N,\N,"裘皮协会会员项目2015080503","500,000.00",\N,\N,"3个月","7.70",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24796",\N,\N,\N,"裘皮协会会员项目2015080501","500,000.00",\N,\N,"3个月","7.70",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24797",\N,\N,\N,"垫资赎契项目2015080501","660,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥660,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24798",\N,\N,\N,"商户融资业务2015080503","300,000.00",\N,\N,"3个月","7.70",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","zh****","男","56",\N,"未婚","批发和零售业","广东 广州",\N,"有","有","0.50
			              "
"24799",\N,\N,\N,"村民融资业务2015080401","200,000.00",\N,\N,"36个月","10.50",\N,"借款金额：￥200,000.00    ",\N,\N,"按月等额本息还款","p1****","男","47",\N,"已婚","环境和公共设施管理业","广东 广州",\N,"有","无","0.50
			              "
"24800",\N,\N,\N,"商户融资业务2015080103","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","33",\N,"离异","房地产业","广东 广州",\N,"有","无","0.50
			              "
"24801",\N,\N,\N,"商户融资业务2015080104","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","33",\N,"离异","房地产业","广东 广州",\N,"有","无","0.50
			              "
"24802",\N,\N,\N,"商户融资业务2015080102","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月等额本息还款","p1****","男","33",\N,"离异","房地产业","广东 广州",\N,"有","无","0.50
			              "
"24803",\N,\N,\N,"商户融资业务2015080101","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月等额本息还款","p1****","男","33",\N,"离异","房地产业","广东 广州",\N,"有","无","0.50
			              "
"24804",\N,\N,\N,"商户融资业务2015073002","500,000.00",\N,\N,"9个月","8.60",\N,"资金周转",\N,\N,"按月付息,到期还本","me****","男","48",\N,"已婚","环境和公共设施管理业","广东 广州",\N,"有","有","0.50
			              "
"24805",\N,\N,\N,"商户融资业务2015073001","500,000.00",\N,\N,"9个月","8.60",\N,"资金周转",\N,\N,"按月付息,到期还本","me****","男","48",\N,"已婚","环境和公共设施管理业","广东 广州",\N,"有","有","0.50
			              "
"24806",\N,\N,\N,"垫资赎契项目2015072901","700,000.00",\N,\N,"1个月","7.50",\N,"借款金额：￥700,000.00    ",\N,\N,"一次性还款","pa****","男","39",\N,"已婚","房地产业","广东 广州",\N,"有","有","0.50
			              "
"24807",\N,\N,\N,"裘皮协会会员项目2015072801","300,000.00",\N,\N,"6个月","8.00",\N,"借款金额：￥300,000.00    ",\N,\N,"按月付息,到期还本","p1****","男","28",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24808",\N,\N,\N,"江南果菜市场项目2015072801","500,000.00",\N,\N,"6个月","8.00",\N,"短期周转",\N,\N,"按月付息,到期还本","p1****","男","48",\N,"已婚","批发和零售业","广东 广州",\N,"无","无","0.50
			              "
"24809",\N,\N,\N,"裘皮协会会员项目2015072404","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24810",\N,\N,\N,"裘皮协会会员项目2015072403","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24811",\N,\N,\N,"裘皮协会会员项目2015072402","500,000.00",\N,\N,"8个月","8.40",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24812",\N,\N,\N,"裘皮协会会员项目2015072401","500,000.00",\N,\N,"8个月","8.40",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","44",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24813",\N,\N,\N,"裘皮协会会员项目2015072303","500,000.00",\N,\N,"6个月","8.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24814",\N,\N,\N,"裘皮协会会员项目2015072302","500,000.00",\N,\N,"6个月","8.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24815",\N,\N,\N,"裘皮协会会员项目2015072301","500,000.00",\N,\N,"6个月","8.00",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","36",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24816",\N,\N,\N,"裘皮协会会员项目2015072202","500,000.00",\N,\N,"11个月","8.90",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","49",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24817",\N,\N,\N,"裘皮协会会员项目2015072201","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","p1****","男","49",\N,"已婚","制造业","广东 广州",\N,"有","有","0.50
			              "
"24818",\N,\N,\N,"商户融资业务2015071706","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
"24819",\N,\N,\N,"商户融资业务2015071705","500,000.00",\N,\N,"10个月","8.80",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
"24820",\N,\N,\N,"商户融资业务2015071704","500,000.00",\N,\N,"11个月","8.90",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
"24821",\N,\N,\N,"商户融资业务2015071703","500,000.00",\N,\N,"11个月","8.90",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
"24822",\N,\N,\N,"商户融资业务2015071702","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
"24823",\N,\N,\N,"商户融资业务2015071701","500,000.00",\N,\N,"12个月","9.00",\N,"资金周转",\N,\N,"按月付息,到期还本","ta****","男","52",\N,"已婚","住宿、餐饮业","广东 广州",\N,"有","有","0.50
			              "
