id,RELEASETIME,FULLTIME,REPAYTIME,ITEM_NAME,ITEM_AMOUNT,ITEM_STATUS,ITEM_INTRODUCTION,LIFE_LOAN,MONEY_RATE,LOAN_TYPE,LOAN_USE,BONDING_COMPANY,DEADLINE,REPAYTYPE,BORROWER_NAME,BORROWER_SEX,BORROWER_AGE,BORROWER_EDUCATION,BORROWER_MARRIAGE,BORROWER_INDUSTRY,BORROWER_CITY,BORROWER_INCOME,BORROWER_HOUSE,BORROWER_CAR,REWARD
"63970","2015-07-08",\N,\N,"北京投资公司股票质押B2015-006-03【投资完成】编号B2015-006-03","200000",\N,"借款人为某企业法人，公司月流水1000万元。为临时企业资金周转，现法人使用本人持有的合纵科技30万股非流通股做质押，借款...[详细]","6个月","14.7 ",\N,\N,\N,"2015-07-16      
					4.54",\N,\N,"男","","","","","",\N,\N,\N,\N
"63971","2015-07-01",\N,\N,"北京投资公司股票质押B2015-006-02【投资完成】编号B2015-006-02","200000",\N,"借款人为某企业法人，公司月流水1000万元。为临时企业资金周转，现法人使用本人持有的合纵科技30万股非流通股做质押，借款...[详细]","6个月","14.7 ",\N,\N,\N,"2015-07-08      
					0.00",\N,\N,"男","32","本科","已婚","","黑龙江",\N,\N,\N,\N
"63972","2015-07-20",\N,\N,"北京投资公司股票质押B2015-006-05【投资中】编号B2015-006-05","200000",\N,"借款人为某企业法人，公司月流水1000万元。为临时企业资金周转，现法人使用本人持有的合纵科技30万股非流通股做质押，借款...[详细]","6个月","14.7 ",\N,\N,\N,"2015-07-28      
					198,241.10",\N,\N,"男","32","本科","已婚","","黑龙江",\N,\N,\N,\N
"63973","2015-07-13",\N,\N,"北京投资公司股票质押B2015-006-04【投资完成】编号B2015-006-04","200000",\N,"借款人为某企业法人，公司月流水1000万元。为临时企业资金周转，现法人使用本人持有的合纵科技30万股非流通股做质押，借款...[详细]","6个月","14.7 ",\N,\N,\N,"2015-07-20      
					11,992.80",\N,\N,"男","32","本科","已婚","","黑龙江",\N,\N,\N,\N
"63974","2015-06-25",\N,\N,"北京投资公司股票质押B2015-006-01【还款中】编号B2015-006-01","200000",\N,"借款人为某企业法人，公司月流水1000万元。为临时企业资金周转，现法人使用本人持有的合纵科技30万股非流通股做质押，借款...[详细]","6个月","14.7 ",\N,\N,\N,"2015-07-02      
					0.00",\N,\N,"男","32","本科","已婚","","黑龙江",\N,\N,\N,\N
"63975","2015-06-17",\N,\N,"山西影视传媒公司A2015-006-12【还款中】编号A2015-006-12","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-06-24      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63976","2015-06-15",\N,\N,"山西影视传媒公司A2015-006-11【还款中】编号A2015-006-11","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-06-22      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63977","2015-06-10",\N,\N,"山西影视传媒公司A2015-006-10【还款中】编号A2015-006-10","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-06-17      
					52.49",\N,\N,"","","","","","",\N,\N,\N,\N
"63978","2015-06-01",\N,\N,"山西影视传媒公司A2015-006-09[客户约标]【还款中】编号A2015-006-09","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-06-05      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63979","2015-05-28",\N,\N,"山西影视传媒公司A2015-006-08【还款中】编号A2015-006-08","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-06-05      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63980","2015-05-21",\N,\N,"山西影视传媒公司A2015-006-07【还款中】编号A2015-006-07","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-28      
					13,333.61",\N,\N,"","","","","","",\N,\N,\N,\N
"63981","2015-05-14",\N,\N,"山西影视传媒公司A2015-006-06【还款中】编号A2015-006-06","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-21      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63982","2015-05-08",\N,\N,"山西影视传媒公司A2015-006-05【还款中】编号A2015-006-05","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-15      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63983","2015-05-05",\N,\N,"山西影视传媒公司A2015-006-04【还款中】编号A2015-006-04","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-12      
					0.10",\N,\N,"","","","","","",\N,\N,\N,\N
"63984","2015-04-30",\N,\N,"山西影视传媒公司A2015-006-03【还款中】编号A2015-006-03","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-07      
					7.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63985","2015-04-29",\N,\N,"山西影视传媒公司A2015-006-02【还款中】编号A2015-006-02","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-06      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63986","2015-04-24",\N,\N,"山西影视传媒公司A2015-006-01【还款中】编号A2015-006-01","200000",\N,"为纪念中国人民抗日战争暨世界人民反法西斯战争胜利70周年，根据山西省委宣传部《关于山西影视集团拍摄电视剧（黄河在咆哮的通...[详细]","6个月","14.7 ",\N,\N,\N,"2015-05-01      
					0.00",\N,\N,"","","","","","",\N,\N,\N,\N
"63987","2015-04-07",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)06【还款完成】编号A2015-004-06","200000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成本...[详细]","3个月","12.7 ",\N,\N,\N,"2015-04-14      
					0.18",\N,\N,"男","50"," 本科","已婚","","江西",\N,\N,\N,\N
"63988","2015-03-30",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)05【还款中】编号A2015-004-05","100000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成...[详细]","6个月","14.7 ",\N,\N,\N,"2015-04-06      
					0.00",\N,\N,"男","50","本科","已婚","","江西",\N,\N,\N,\N
"63989","2015-03-27",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)04【还款中】编号A2015-004-04","200000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成本...[详细]","6个月","14.7 ",\N,\N,\N,"2015-04-03      
					0.00",\N,\N,"男","50","本科"," 已婚","","江西",\N,\N,\N,\N
"63990","2015-03-25",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)03【还款中】编号 A2015-004-03","200000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成本...[详细]","6个月","14.7 ",\N,\N,\N,"2015-04-01      
					0.00",\N,\N,"男","50","本科","已婚","","江西",\N,\N,\N,\N
"63991","2015-03-18",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)02【还款完成】编号A2015-004-02","200000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成本...[详细]","3个月","12.7 ",\N,\N,\N,"2015-03-25      
					79.76",\N,\N,"男","50","本科","已婚","","江西",\N,\N,\N,\N
"63992","2015-03-16",\N,\N,"北京某家具公司资金周转(通州别墅房产抵押)【还款完成】编号A2015-004-01","100000",\N,"借款人为北京某贸易有限公司，为承接北京市丰台区某大厦的办公家具及办公用品整体采购项目，前期资金周转困难，急需资金垫付成本...[详细]","1个月","11.7 ",\N,\N,\N,"2015-03-23      
					0.00",\N,\N,"男","50","本科","已婚","","江西",\N,\N,\N,\N
"63993","2015-03-09",\N,\N,"北京设计公司法人海淀房产抵押05【还款中】编号A2015-003-05","200000",\N,"借款人为北京一家设计公司企业大股东，2014年该企业资产总值达4000余万元。用款企业计划2015年通过投资建设整合内外...[详细]","6个月","14.7 ",\N,\N,\N,"2015-03-16      
					0.00",\N,\N,"男","42"," 本科","已婚","","",\N,\N,\N,\N
"63994","2015-03-06",\N,\N,"平台12证券类质押债权19【还款完成】编号B2014-001-19","200000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十九期。借款人为某集团公司及其法定代表人，该集团公司为国内某上...[详细]","3个月","12.7 ",\N,\N,\N,"2015-03-13      
					0.00",\N,\N,"男","51","研究生","已婚","","",\N,\N,\N,\N
"63995","2015-02-27",\N,\N,"北京设计公司法人海淀房产抵押04【还款中】编号A2015-003-04","300000",\N,"借款人为北京一家设计公司企业大股东，2014年该企业资产总值达4000余万元。用款企业计划2015年通过投资建设整合内外...[详细]","6个月","14.7 ",\N,\N,\N,"2015-03-06      
					0.00",\N,\N,"男","42","本科","已婚","","",\N,\N,\N,\N
"63996","2015-02-12",\N,\N,"某科技公司资金周转03(房产抵押)【还款完成】编号A2015-003","300000",\N,"借款人为北京某科技公司法人，企业发展稳定，收支良好 。为购买一批新型电子设备，急需资金周转。现以东城区私人房产抵押借款1...[详细]","3个月","12.7 ",\N,\N,\N,"2015-02-25      
					152,601.85",\N,\N,"男","43","博士","已婚","","",\N,\N,\N,\N
"63997","2015-02-12",\N,\N,"北京设计公司法人海淀房产抵押03【还款中】编号A2015-003-03","300000",\N,"借款人为北京一家设计公司企业大股东，2014年该企业资产总值达4000余万元。用款企业计划2015年通过投资建设整合内外...[详细]","6个月","14.7 ",\N,\N,\N,"2015-02-20      
					0.12",\N,\N,"男","42","本科","已婚","","",\N,\N,\N,\N
"63998","2015-02-03",\N,\N,"北京设计公司法人海淀房产抵押02【还款完成】编号A2015-003-02","300000",\N,"借款人为北京一家设计公司企业大股东，2014年该企业资产总值达4000余万元。用款企业计划2015年通过投资建设整合内外...[详细]","3个月","12.7 ",\N,\N,\N,"2015-02-10      
					0.00",\N,\N,"男","42","本科","已婚","","",\N,\N,\N,\N
"63999","2015-01-27",\N,\N,"北京设计公司法人海淀房产抵押01【还款完成】编号A2015-003-01","300000",\N,"借款人为北京一家设计公司企业大股东，2014年该企业资产总值达4000余万元。用款企业计划2015年通过投资建设整合内外...[详细]","3个月","12.7 ",\N,\N,\N,"2015-02-03      
					0.00",\N,\N,"男","42","本科","已婚","","",\N,\N,\N,\N
"64000","2015-01-23",\N,\N,"某科技公司资金周转02(房产抵押)【还款中】编号A2015-002","100000",\N,"借款人为北京某科技公司法人，企业发展稳定，收支良好 。为购买一批新型电子设备，急需资金周转。现以东城区私人房产抵押借款1...[详细]","6个月","14.7 ",\N,\N,\N,"2015-01-30      
					48.47",\N,\N,"男","43","博士"," 已婚","","",\N,\N,\N,\N
"64001","2015-01-16",\N,\N,"某科技公司资金周转01(房产抵押)【还款完成】编号A2015-001","500000",\N,"借款人为北京某科技公司法人，企业发展稳定，收支良好 。为购买一批新型电子设备，急需资金周转。现以东城区私人房产抵押借款1...[详细]","3个月","12.7 ",\N,\N,\N,"2015-01-23      
					0.00",\N,\N,"男","43","博士","已婚","","",\N,\N,\N,\N
"64002","2015-01-13",\N,\N,"平台12证券类质押债权18【还款完成】编号B2014-001-18","200000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十八期。借款人为某集团公司及其法定代表人，该集团公司为国内某上...[详细]","6个月","14.7 ",\N,\N,\N,"2015-01-20      
					0.00",\N,\N,"男","51","研究生","已婚","","北京",\N,\N,\N,\N
"64003","2015-01-13",\N,\N,"平台12证券类质押债权17【还款完成】编号B2014-001-17","200000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十七期。借款人为某集团公司及其法定代表人，该集团公司为国内某上...[详细]","3个月","12.7 ",\N,\N,\N,"2015-01-20      
					0.00",\N,\N,"男","51","研究生","已婚","","北京",\N,\N,\N,\N
"64004","2015-01-12",\N,\N,"平台12证券类质押债权16【还款完成】编号B2014-001-16","200000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十六期。借款人为某集团公司及其法定代表人，该集团公司为国内某上...[详细]","6个月","14.7 ",\N,\N,\N,"2015-01-19      
					0.22",\N,\N,"男","51","研究生","已婚","","北京",\N,\N,\N,\N
"64005","2015-01-08",\N,\N,"北京某酒店管理公司房产抵押债权21【还款完成】编号A2014-003-21","500000",\N,"本项目为北京酒店管理公司房产抵押债权（房产类质押债权）产品的第二十一期。借款人为某餐饮公司的总经理及法人，该借款人为京城...[详细]","3个月","12.7 ",\N,\N,\N,"2015-01-15      
					0.00",\N,\N,"男","51","中专","已婚","","北京",\N,\N,\N,\N
"64006","2015-01-07",\N,\N,"平台12证券类质押债权15【还款完成】编号B2014-001-15","500000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十五期。借款人为某集团公司及其法定代表人，该集团公司为国内某...[详细]","3个月","12.7 ",\N,\N,\N,"2015-01-14      
					11.12",\N,\N,"男","51","研究生","已婚","","北京",\N,\N,\N,\N
"64007","2015-01-05",\N,\N,"平台12证券类质押债权14【还款完成】编号 B2014-001-14","300000",\N,"本项目为平台12B2014-001（证券类质押债权）产品的第十四期。借款人为某集团公司及其法定代表人，该集团公司为国内某...[详细]","6个月","14.7 ",\N,\N,\N,"2015-01-12      
					0.81",\N,\N,"男"," 51","研究生","已婚","","北京",\N,\N,\N,\N
"64008","2014-12-31",\N,\N,"企业资金周转(福特蒙迪欧汽车抵押)【还款完成】编号C2014-003","80000",\N,"用款企业为北京某服装商贸公司法人，为年底囤货，急需补充企业短期经营资金流动性，借款人已在银行办理房产抵押借款43万，但未...[详细]","6个月","14.7 ",\N,\N,\N,"2015-01-07      
					0.00",\N,\N,"男","34","研究生","已婚","","北京",\N,\N,\N,\N
